timestamp,src_ip,dst_ip,protocol,src_port,dst_port,bytes,status,label
2024-01-15 14:00:00,198.51.100.1,192.168.1.1,TCP,10001,80,60,error,dos
2024-01-15 14:00:00,198.51.100.2,192.168.1.1,TCP,10002,80,60,error,dos
2024-01-15 14:00:00,198.51.100.3,192.168.1.1,TCP,10003,80,60,error,dos
2024-01-15 14:00:00,198.51.100.4,192.168.1.1,TCP,10004,80,60,error,dos
2024-01-15 14:00:00,198.51.100.5,192.168.1.1,TCP,10005,80,60,error,dos
2024-01-15 14:00:00,198.51.100.6,192.168.1.1,TCP,10006,80,60,error,dos
2024-01-15 14:00:01,198.51.100.7,192.168.1.1,TCP,10007,80,60,error,dos
2024-01-15 14:00:01,198.51.100.8,192.168.1.1,TCP,10008,80,60,error,dos
2024-01-15 14:00:01,198.51.100.9,192.168.1.1,TCP,10009,80,60,error,dos
2024-01-15 14:00:01,198.51.100.10,192.168.1.1,TCP,10010,80,60,error,dos
2024-01-15 14:00:01,198.51.100.11,192.168.1.1,TCP,10011,80,60,error,dos
2024-01-15 14:00:01,198.51.100.12,192.168.1.1,TCP,10012,80,60,error,dos
2024-01-15 14:00:02,198.51.100.13,192.168.1.1,TCP,10013,80,60,error,dos
2024-01-15 14:00:02,198.51.100.14,192.168.1.1,TCP,10014,80,60,error,dos
2024-01-15 14:00:02,198.51.100.15,192.168.1.1,TCP,10015,80,60,error,dos
2024-01-15 14:00:02,198.51.100.16,192.168.1.1,TCP,10016,80,60,error,dos
2024-01-15 14:00:02,198.51.100.17,192.168.1.1,TCP,10017,80,60,error,dos
2024-01-15 14:00:02,198.51.100.18,192.168.1.1,TCP,10018,80,60,error,dos
2024-01-15 14:00:03,198.51.100.19,192.168.1.1,TCP,10019,80,60,error,dos
2024-01-15 14:00:03,198.51.100.20,192.168.1.1,TCP,10020,80,60,error,dos
2024-01-15 14:00:03,198.51.100.1,192.168.1.1,UDP,10021,53,1400,error,dos
2024-01-15 14:00:03,198.51.100.2,192.168.1.1,UDP,10022,53,1400,error,dos
2024-01-15 14:00:03,198.51.100.3,192.168.1.1,ICMP,0,0,65535,error,dos
2024-01-15 14:00:04,198.51.100.4,192.168.1.1,ICMP,0,0,65535,error,dos
2024-01-15 14:00:04,198.51.100.5,192.168.1.1,TCP,10023,443,60,error,dos
2024-01-15 14:00:04,198.51.100.6,192.168.1.1,TCP,10024,443,60,error,dos
2024-01-15 14:00:04,198.51.100.7,192.168.1.1,TCP,10025,80,60,error,dos
2024-01-15 14:00:04,198.51.100.8,192.168.1.1,TCP,10026,80,60,error,dos
2024-01-15 14:00:05,198.51.100.9,192.168.1.1,TCP,10027,80,60,error,dos
2024-01-15 14:00:05,198.51.100.10,192.168.1.1,TCP,10028,80,60,error,dos
